Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Bengali,4,0,200.0,214.4297497579828,192.07912497222424,259.74579103058204,126.0,0.07171517440211679,0.0,200,200,260,260,260,260,260,260,260,260,260
POST,Gujarati,2,0,210.0,316.4327084668912,206.7868749727495,426.0785419610329,126.0,0.035857587201058395,0.0,430,430,430,430,430,430,430,430,430,430,430
POST,Hindi,1,0,223.3443750301376,223.3443750301376,223.3443750301376,223.3443750301376,125.0,0.017928793600529198,0.0,220,220,220,220,220,220,220,220,220,220,220
POST,Kannada,4,0,220.0,256.41645850555506,178.85249998653308,403.9629169856198,128.0,0.07171517440211679,0.0,220,220,400,400,400,400,400,400,400,400,400
POST,Malayalam,3,0,220.0,213.90545833855867,197.42629199754447,225.09349999018013,129.0,0.05378638080158759,0.0,220,220,230,230,230,230,230,230,230,230,230
POST,Marathi,1,0,194.08570899395272,194.08570899395272,194.08570899395272,194.08570899395272,126.0,0.017928793600529198,0.0,190,190,190,190,190,190,190,190,190,190,190
POST,Odia,2,0,192.22445803461596,210.63554153079167,192.22445803461596,229.04662502696738,126.0,0.035857587201058395,0.0,230,230,230,230,230,230,230,230,230,230,230
POST,Tamil,2,0,180.0,338.16143751027994,178.3207500120625,498.0021250084974,126.0,0.035857587201058395,0.0,500,500,500,500,500,500,500,500,500,500,500
,Aggregated,19,0,220.0,245.94687721630754,178.3207500120625,498.0021250084974,126.84210526315789,0.34064707841005476,0.0,220,220,230,260,430,500,500,500,500,500,500
